Gender,TEIQ_1,TEIQ_2,TEIQ_3,TEIQ_4,TEIQ_5,TEIQ_6,TEIQ_7,TEIQ_8,TEIQ_9,TEIQ_10,TEIQ_11,TEIQ_12,TEIQ_13,TEIQ_14,TEIQ_15,TEIQ_16,TEIQ_17,TEIQ_18,TEIQ_19,TEIQ_20,TEIQ_21,TEIQ_22,TEIQ_23,TEIQ_24,TEIQ_25,TEIQ_26,TEIQ_27,TEIQ_28,TEIQ_29,TEIQ_30,TEIQTotal,selfcontrol,wellbeing,emotionality,sociabliity
1,4,6,6,6,2,6,4,2,7,7,5,7,7,6,4,7,4,6,3,6,5,5,4,6,7,6,6,7,5,3,5.3000,4.1667,5.6667,5.125,6.0000
1,6,6,6,6,7,5,6,7,5,6,4,7,7,7,6,7,5,4,4,6,4,6,5,5,6,6,5,7,6,5,5.7333,5.5000,5.8333,6.250,5.1667
1,4,7,3,3,7,6,4,6,7,2,4,7,7,4,7,7,7,6,6,7,7,6,4,5,1,4,6,7,6,3,5.3333,4.8333,6.5000,6.125,4.0000
1,7,3,7,6,7,7,6,7,7,7,4,7,7,7,7,7,5,7,7,7,7,6,6,7,2,3,7,7,6,4,6.1333,6.0000,7.0000,6.125,5.0000
1,7,7,6,7,7,7,5,7,7,4,6,7,7,7,7,7,7,5,7,7,5,5,4,5,4,3,7,7,7,3,6.0333,5.6667,6.6667,6.625,4.8333
1,4,6,4,6,7,5,6,6,6,7,3,7,7,4,3,7,4,4,7,6,3,6,2,3,7,4,5,7,6,2,5.1333,5.0000,5.6667,5.375,4.8333
1,6,6,5,6,7,4,6,5,6,3,4,6,6,6,6,5,4,5,6,6,6,6,2,5,2,5,5,7,6,6,5.2667,6.0000,5.8333,5.125,4.0000
1,5,5,6,6,7,6,4,7,6,6,5,6,7,7,6,7,5,7,5,7,5,7,5,6,4,4,4,7,6,6,5.8000,5.6667,6.0000,6.000,5.0000
1,3,7,7,4,7,7,5,4,7,7,6,7,7,7,6,5,4,7,5,7,7,7,6,6,6,6,6,7,7,5,6.0667,5.3333,6.6667,5.375,6.5000
1,5,5,4,1,6,6,5,5,6,5,4,7,7,4,6,4,4,5,6,5,5,1,6,5,7,5,5,5,6,4,4.9667,3.8333,5.6667,5.125,5.3333
1,6,7,6,7,6,6,5,6,6,6,4,6,7,7,7,7,7,6,6,7,5,5,5,6,6,6,7,7,7,6,6.1667,6.0000,6.3333,6.500,5.5000
1,6,7,6,4,7,7,5,7,7,4,5,7,7,7,5,7,6,6,4,7,7,7,5,6,3,6,6,7,7,1,5.8667,4.3333,6.6667,6.500,5.3333
1,2,7,3,6,7,1,5,6,6,6,2,6,6,6,5,7,6,6,5,6,6,5,2,6,5,5,6,6,6,6,5.2333,5.3333,6.1667,5.250,4.1667
1,5,6,6,5,7,6,2,6,7,6,6,7,7,7,5,3,6,7,5,7,5,5,2,5,3,6,5,7,6,4,5.4667,4.3333,6.3333,5.250,5.3333
1,6,4,3,4,7,7,7,7,7,7,3,7,7,7,7,7,7,6,6,7,5,7,5,5,2,4,7,7,7,7,5.9667,6.3333,6.6667,6.250,4.6667
1,4,5,5,3,6,6,1,4,7,1,4,5,7,3,6,4,6,6,6,7,2,3,6,7,1,6,5,6,6,4,4.7333,3.8333,6.1667,5.250,3.3333
1,4,6,7,4,7,7,4,5,4,4,6,7,7,4,4,7,6,6,4,7,5,4,7,4,1,4,4,7,6,4,5.2000,4.0000,5.5000,6.125,4.5000
1,5,7,6,6,7,5,5,6,6,7,4,7,7,6,5,7,3,6,4,7,5,4,4,5,6,5,4,5,5,5,5.4667,4.8333,6.0000,5.500,5.3333
1,6,6,6,3,7,6,5,6,5,6,5,7,7,6,6,3,4,6,5,7,7,3,5,2,4,4,5,6,6,4,5.2667,4.3333,5.5000,5.375,5.3333
